time/s	<Ewe/V>	I/mA	
1.452443363308194E+003	4.0652981E-001	6.8820328E+001
1.452543363305667E+003	2.9046426E+000	9.6509285E+001
1.452643363303141E+003	2.9202962E+000	9.6464714E+001
1.452743363300615E+003	2.9240513E+000	9.6522011E+001
1.452843363298089E+003	2.9246478E+000	9.6522011E+001
1.452943363295562E+003	2.9271760E+000	9.6509285E+001
1.453043363293036E+003	2.9289453E+000	9.6522011E+001
1.453143363290510E+003	2.9281962E+000	9.6560219E+001
1.453243363287984E+003	2.9291401E+000	9.6515648E+001
1.453343363285458E+003	2.9310811E+000	9.6496544E+001
1.453443363282931E+003	2.9325924E+000	9.6502914E+001
1.453543363280405E+003	2.9329195E+000	9.6541115E+001
1.453643363277879E+003	2.9348857E+000	9.6496544E+001
1.453743363275353E+003	2.9350755E+000	9.6496544E+001
1.453843363272827E+003	2.9363339E+000	9.6553848E+001
1.453943363270300E+003	2.9362006E+000	9.6496544E+001
1.454043363267774E+003	2.9361491E+000	9.6420143E+001
1.454143363265248E+003	2.9387822E+000	9.6502914E+001
1.454243363262722E+003	2.9397581E+000	9.6515648E+001
1.454343363260195E+003	2.9393888E+000	9.6458351E+001
1.454443363257669E+003	2.9379694E+000	9.6534744E+001
1.454543363255143E+003	2.9422536E+000	9.6458351E+001
1.454643363252617E+003	2.9376457E+000	9.6496544E+001
1.454743363250091E+003	2.9402318E+000	9.6528389E+001
1.454843363247564E+003	2.9412134E+000	9.6432884E+001
1.454943363245038E+003	2.9420047E+000	9.6496544E+001
1.455043363242512E+003	2.9408014E+000	9.6432884E+001
1.455143363239986E+003	2.9420021E+000	9.6471085E+001
1.455243363237460E+003	2.9422367E+000	9.6502914E+001
1.455343363234933E+003	2.9398122E+000	9.6534744E+001
1.455443363232407E+003	2.9406421E+000	9.6445610E+001
1.455543363229881E+003	2.9428973E+000	9.6496544E+001
1.455643363227355E+003	2.9423525E+000	9.6496544E+001
1.455743363224829E+003	2.9410386E+000	9.6471085E+001
1.455843363222302E+003	2.9409790E+000	9.6502914E+001
1.455943363219776E+003	2.9412203E+000	9.6560219E+001
1.456043363217250E+003	2.9419816E+000	9.6522011E+001
1.456143363214724E+003	2.9391007E+000	9.6483818E+001
1.456243363212197E+003	2.9369698E+000	9.6471085E+001
1.456343363209671E+003	2.9379880E+000	9.6509285E+001
1.456443363207145E+003	2.9392593E+000	9.6534744E+001
1.456543363204619E+003	2.9374287E+000	9.6471085E+001
1.456643363202093E+003	2.9383507E+000	9.6547485E+001
1.456743363199566E+003	2.9394991E+000	9.6547485E+001
1.456843363197040E+003	2.9383254E+000	9.6471085E+001
1.456943363194514E+003	2.9398668E+000	9.6509285E+001
1.457043363191988E+003	2.9390244E+000	9.6445610E+001
1.457143363189462E+003	2.9407854E+000	9.6528389E+001
1.457243363186935E+003	2.9421880E+000	9.6515648E+001
